=== Grokking-Collapse Experiment ===
Node: udc-an37-1
GPU: NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
NVIDIA A100-SXM4-80GB
Start: Wed Apr  8 14:56:59 EDT 2026

============================================================
Running condition: pure
============================================================
Training on cuda
Condition: pure, collapse_level=0.0
Model parameters: 213,947
Step 10000 | train_loss=0.0467 test_loss=0.0532 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=38.50 rank=22.1 fourier=0.355 | time=54.8s
Step 10100 | train_loss=0.0299 test_loss=0.0328 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=37.50 rank=21.2 fourier=0.364 | time=55.5s
Step 10200 | train_loss=0.0414 test_loss=0.0492 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=39.04 rank=23.4 fourier=0.345 | time=56.0s
Step 10300 | train_loss=0.0250 test_loss=0.0276 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=37.38 rank=21.0 fourier=0.368 | time=56.5s
Step 10400 | train_loss=0.0379 test_loss=0.0419 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.55 rank=21.5 fourier=0.359 | time=57.0s
Step 10500 | train_loss=0.0291 test_loss=0.0320 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.53 rank=21.4 fourier=0.360 | time=57.6s
Step 10600 | train_loss=0.0541 test_loss=0.0611 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.42 rank=22.1 fourier=0.349 | time=58.1s
Step 10700 | train_loss=0.0247 test_loss=0.0273 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.02 rank=21.4 fourier=0.356 | time=58.6s
Step 10800 | train_loss=0.0473 test_loss=0.0531 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.99 rank=22.0 fourier=0.346 | time=59.1s
Step 10900 | train_loss=0.0257 test_loss=0.0285 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.48 rank=21.3 fourier=0.353 | time=59.8s
Step 11000 | train_loss=0.0690 test_loss=0.0743 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.53 rank=22.4 fourier=0.339 | time=60.3s
Step 11100 | train_loss=0.0197 test_loss=0.0220 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.43 rank=21.2 fourier=0.356 | time=60.8s
Step 11200 | train_loss=0.0292 test_loss=0.0326 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.48 rank=21.6 fourier=0.350 | time=61.4s
Step 11300 | train_loss=0.0187 test_loss=0.0208 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.23 rank=21.5 fourier=0.353 | time=62.0s
Step 11400 | train_loss=0.0329 test_loss=0.0370 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.09 rank=21.3 fourier=0.353 | time=62.5s
Step 11500 | train_loss=0.0189 test_loss=0.0211 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.80 rank=21.3 fourier=0.356 | time=63.0s
Step 11600 | train_loss=0.0305 test_loss=0.0344 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.06 rank=21.6 fourier=0.351 | time=63.5s
Step 11700 | train_loss=0.0243 test_loss=0.0276 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.12 rank=21.6 fourier=0.350 | time=64.1s
Step 11800 | train_loss=0.0233 test_loss=0.0262 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.92 rank=21.6 fourier=0.350 | time=64.6s
Step 11900 | train_loss=0.0531 test_loss=0.0624 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.93 rank=23.1 fourier=0.330 | time=65.1s
Step 12000 | train_loss=0.0151 test_loss=0.0169 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.38 rank=21.1 fourier=0.354 | time=65.7s
Step 12100 | train_loss=0.0227 test_loss=0.0252 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.26 rank=21.1 fourier=0.353 | time=66.3s
Step 12200 | train_loss=0.0225 test_loss=0.0258 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.86 rank=21.4 fourier=0.350 | time=66.8s
Step 12300 | train_loss=0.0206 test_loss=0.0232 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.44 rank=21.2 fourier=0.353 | time=67.3s
Step 12400 | train_loss=0.0477 test_loss=0.0588 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.33 rank=23.6 fourier=0.328 | time=67.9s
Step 12500 | train_loss=0.0137 test_loss=0.0153 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.55 rank=21.4 fourier=0.351 | time=68.5s
Step 12600 | train_loss=0.0198 test_loss=0.0220 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.27 rank=20.9 fourier=0.354 | time=69.0s
Step 12700 | train_loss=0.0251 test_loss=0.0284 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.03 rank=21.3 fourier=0.352 | time=69.5s
Step 12800 | train_loss=0.0119 test_loss=0.0137 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.91 rank=22.1 fourier=0.348 | time=70.0s
Step 12900 | train_loss=0.0170 test_loss=0.0192 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.50 rank=20.9 fourier=0.357 | time=70.6s
Step 13000 | train_loss=0.0253 test_loss=0.0286 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.19 rank=21.3 fourier=0.352 | time=71.1s
Step 13100 | train_loss=0.0184 test_loss=0.0208 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.36 rank=21.2 fourier=0.355 | time=71.7s
Step 13200 | train_loss=0.0276 test_loss=0.0328 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.94 rank=23.1 fourier=0.337 | time=72.2s
Step 13300 | train_loss=0.0140 test_loss=0.0158 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.07 rank=20.9 fourier=0.358 | time=72.8s
Step 13400 | train_loss=0.0195 test_loss=0.0221 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.06 rank=21.0 fourier=0.355 | time=73.3s
Step 13500 | train_loss=0.0128 test_loss=0.0154 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.97 rank=23.5 fourier=0.339 | time=73.9s
Step 13600 | train_loss=0.0135 test_loss=0.0151 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.61 rank=21.1 fourier=0.358 | time=74.4s
Step 13700 | train_loss=0.0185 test_loss=0.0208 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.51 rank=20.9 fourier=0.357 | time=75.0s
Step 13800 | train_loss=0.0212 test_loss=0.0242 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.57 rank=21.2 fourier=0.355 | time=75.5s
Step 13900 | train_loss=0.0294 test_loss=0.0342 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.83 rank=21.4 fourier=0.352 | time=76.0s
Step 14000 | train_loss=0.0106 test_loss=0.0122 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.43 rank=22.0 fourier=0.348 | time=76.5s
Step 14100 | train_loss=0.0163 test_loss=0.0186 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.05 rank=21.1 fourier=0.354 | time=77.1s
Step 14200 | train_loss=0.0185 test_loss=0.0211 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.20 rank=21.4 fourier=0.351 | time=77.7s
Step 14300 | train_loss=0.0183 test_loss=0.0210 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.11 rank=21.5 fourier=0.351 | time=78.2s
Step 14400 | train_loss=0.0137 test_loss=0.0208 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=42.95 rank=30.7 fourier=0.293 | time=78.7s
Step 14500 | train_loss=0.0165 test_loss=0.0210 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=40.28 rank=30.6 fourier=0.303 | time=79.3s
Step 14600 | train_loss=0.0223 test_loss=0.0259 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=38.44 rank=29.5 fourier=0.315 | time=79.9s
Step 14700 | train_loss=0.0241 test_loss=0.0273 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.78 rank=26.9 fourier=0.332 | time=80.4s
Step 14800 | train_loss=0.0248 test_loss=0.0279 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=35.33 rank=23.3 fourier=0.351 | time=80.9s
Step 14900 | train_loss=0.0250 test_loss=0.0281 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.54 rank=21.4 fourier=0.358 | time=81.5s
Step 15000 | train_loss=0.0287 test_loss=0.0324 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.68 rank=21.9 fourier=0.359 | time=82.0s
Step 15100 | train_loss=0.0251 test_loss=0.0284 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=33.92 rank=21.3 fourier=0.362 | time=82.5s
Step 15200 | train_loss=0.0216 test_loss=0.0248 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.12 rank=21.5 fourier=0.358 | time=83.1s
Step 15300 | train_loss=0.0330 test_loss=0.0387 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.07 rank=21.8 fourier=0.354 | time=83.7s
Step 15400 | train_loss=0.0195 test_loss=0.0224 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.32 rank=21.9 fourier=0.353 | time=84.2s
Step 15500 | train_loss=0.1458 test_loss=0.1672 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=34.27 rank=22.5 fourier=0.344 | time=84.7s
Step 15600 | train_loss=0.0123 test_loss=0.0146 | train_acc=1.0000 test_acc=1.0000 | ‖W‖=36.58 rank=24.1 fourier=0.345 | time=85.2s
