run_dir,condition,collapse_level,collapse_severity,final_test_acc,final_train_acc,final_weight_norm,grokking_step_detected,grokked_detected,seed
results/grid/level0.15_sev0.6/seed_42,seed_42,0.15,0.6,0.7472302010668855,0.9789272030651341,43.39174084955657,-1,False,42
results/grid/level0.15_sev0.6/seed_43,seed_43,0.15,0.6,0.819450143619204,0.9894636015325671,45.58068191112581,-1,False,43
results/grid/level0.15_sev0.6/seed_44,seed_44,0.15,0.6,0.8518670496512105,0.9980842911877394,42.890996498174644,-1,False,44
results/grid/level0.15_sev0.6/seed_46,seed_46,0.15,0.6,0.8732047599507591,1.0,44.85568831748487,-1,False,46
results/grid/level0.15_sev0.6/seed_45,seed_45,0.15,0.6,0.8239638900287238,0.9980842911877394,46.45615054515847,-1,False,45
results/grid/level0.05_sev0.3/seed_42,seed_42,0.05,0.3,0.9848173984407058,1.0,36.3174290330349,4100,True,42
results/grid/level0.05_sev0.3/seed_43,seed_43,0.05,0.3,0.9926138695116947,1.0,36.71852999750299,2500,True,43
results/grid/level0.05_sev0.3/seed_44,seed_44,0.05,0.3,0.982355354944604,1.0,35.29801116051794,3000,True,44
results/grid/level0.05_sev0.3/seed_46,seed_46,0.05,0.3,0.979072630283135,1.0,33.78874980077966,7700,True,46
results/grid/level0.05_sev0.3/seed_45,seed_45,0.05,0.3,0.95814526056627,0.9827586206896551,36.53682211878,3900,True,45
results/grid/level0.05_sev0.6/seed_42,seed_42,0.05,0.6,0.954862535904801,0.9961685823754789,38.55016898106348,5000,True,42
results/grid/level0.05_sev0.6/seed_43,seed_43,0.05,0.6,0.9798933114485022,1.0,35.73526693450831,6100,True,43
results/grid/level0.05_sev0.6/seed_44,seed_44,0.05,0.6,0.9807139926138695,1.0,33.322401727293794,4800,True,44
results/grid/level0.05_sev0.6/seed_46,seed_46,0.05,0.6,0.9786622897004513,1.0,32.93310365676668,5400,True,46
results/grid/level0.05_sev0.6/seed_45,seed_45,0.05,0.6,0.9831760361099713,0.9923371647509579,33.75679494026061,3900,True,45
results/grid/level0.05_sev0.9/seed_42,seed_42,0.05,0.9,0.972507180960197,1.0,33.342504044834556,7600,True,42
results/grid/level0.05_sev0.9/seed_43,seed_43,0.05,0.9,0.9860484201887567,0.9980842911877394,36.304335692655556,2600,True,43
results/grid/level0.05_sev0.9/seed_44,seed_44,0.05,0.9,0.9827656955272877,1.0,40.073951889438824,5500,True,44
results/grid/level0.05_sev0.9/seed_46,seed_46,0.05,0.9,0.972507180960197,1.0,33.98977759673001,6700,True,46
results/grid/level0.05_sev0.9/seed_45,seed_45,0.05,0.9,0.9766105867870333,0.9980842911877394,33.0070587236698,2700,True,45
results/grid/level0_sev0.6/seed_42,seed_42,0.0,0.6,1.0,1.0,30.311590703388994,1700,True,42
results/grid/level0_sev0.6/seed_43,seed_43,0.0,0.6,1.0,1.0,31.56538701894806,1400,True,43
results/grid/level0_sev0.6/seed_44,seed_44,0.0,0.6,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/grid/level0_sev0.6/seed_46,seed_46,0.0,0.6,1.0,1.0,32.74715919021859,1400,True,46
results/grid/level0_sev0.6/seed_45,seed_45,0.0,0.6,1.0,1.0,31.31685048373308,1300,True,45
results/grid/level0_sev0.3/seed_42,seed_42,0.0,0.3,1.0,1.0,30.311590703388994,1700,True,42
results/grid/level0_sev0.3/seed_43,seed_43,0.0,0.3,1.0,1.0,31.56538701894806,1400,True,43
results/grid/level0_sev0.3/seed_44,seed_44,0.0,0.3,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/grid/level0_sev0.3/seed_46,seed_46,0.0,0.3,1.0,1.0,32.74715919021859,1400,True,46
results/grid/level0_sev0.3/seed_45,seed_45,0.0,0.3,1.0,1.0,31.31685048373308,1300,True,45
results/grid/level0_sev0.9/seed_42,seed_42,0.0,0.9,1.0,1.0,30.311590703388994,1700,True,42
results/grid/level0_sev0.9/seed_43,seed_43,0.0,0.9,1.0,1.0,31.56538701894806,1400,True,43
results/grid/level0_sev0.9/seed_44,seed_44,0.0,0.9,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/grid/level0_sev0.9/seed_46,seed_46,0.0,0.9,1.0,1.0,32.74715919021859,1400,True,46
results/grid/level0_sev0.9/seed_45,seed_45,0.0,0.9,1.0,1.0,31.31685048373308,1300,True,45
results/grid/level0.3_sev0.3/seed_42,seed_42,0.3,0.3,0.26754205990972507,1.0,53.00500158969116,-1,False,42
results/grid/level0.3_sev0.3/seed_43,seed_43,0.3,0.3,0.24415264669675832,0.9319923371647509,50.11199246906074,-1,False,43
results/grid/level0.3_sev0.3/seed_44,seed_44,0.3,0.3,0.24374230611407469,0.9501915708812261,53.999338602219645,-1,False,44
results/grid/level0.3_sev0.3/seed_46,seed_46,0.3,0.3,0.34058268362741073,0.9961685823754789,57.41130194457217,-1,False,46
results/grid/level0.3_sev0.3/seed_45,seed_45,0.3,0.3,0.2679524004924087,0.9090038314176245,55.07646398886649,-1,False,45
results/scarcity_baseline/frac0.285/seed_42,seed_42,0.0,0.5,0.9803133788670149,1.0,26.28674066699595,1500,True,42
results/scarcity_baseline/frac0.285/seed_43,seed_43,0.0,0.5,1.0,1.0,24.71569043693406,900,True,43
results/scarcity_baseline/frac0.285/seed_44,seed_44,0.0,0.5,1.0,1.0,29.387814805550764,1600,True,44
results/scarcity_baseline/frac0.285/seed_46,seed_46,0.0,0.5,1.0,1.0,24.710039323133397,1300,True,46
results/scarcity_baseline/frac0.285/seed_45,seed_45,0.0,0.5,0.9863398955403777,1.0,26.627487605808547,1300,True,45
results/scarcity_baseline/frac0.21/seed_42,seed_42,0.0,0.5,0.19636363636363635,0.22845417236662108,24.02264463450058,2700,True,42
results/scarcity_baseline/frac0.21/seed_43,seed_43,0.0,0.5,1.0,1.0,25.65256231734168,2100,True,43
results/scarcity_baseline/frac0.21/seed_44,seed_44,0.0,0.5,1.0,1.0,25.56043304970454,2800,True,44
results/scarcity_baseline/frac0.21/seed_46,seed_46,0.0,0.5,0.8716363636363637,1.0,27.39267392044366,3800,True,46
results/scarcity_baseline/frac0.21/seed_45,seed_45,0.0,0.5,0.9778181818181818,1.0,29.885311504526896,2800,True,45
results/scarcity_baseline/frac0.3/seed_42,seed_42,0.0,0.5,1.0,1.0,30.311590703388994,1700,True,42
results/scarcity_baseline/frac0.3/seed_43,seed_43,0.0,0.5,1.0,1.0,31.56538701894806,1400,True,43
results/scarcity_baseline/frac0.3/seed_44,seed_44,0.0,0.5,0.9183422240459581,0.9616858237547893,40.203411891888365,1300,True,44
results/scarcity_baseline/frac0.3/seed_46,seed_46,0.0,0.5,1.0,1.0,32.74715919021859,1400,True,46
results/scarcity_baseline/frac0.3/seed_45,seed_45,0.0,0.5,1.0,1.0,31.316850483733077,1300,True,45
results/scarcity_baseline/frac0.15/seed_42,seed_42,0.0,0.5,1.0,1.0,30.787914073654086,17200,True,42
results/scarcity_baseline/frac0.15/seed_43,seed_43,0.0,0.5,1.0,1.0,34.22828737409719,18500,True,43
results/scarcity_baseline/frac0.15/seed_44,seed_44,0.0,0.5,1.0,1.0,38.62006628936266,9300,True,44
results/scarcity_baseline/frac0.15/seed_46,seed_46,0.0,0.5,1.0,1.0,34.950363171763684,16200,True,46
results/scarcity_baseline/frac0.15/seed_45,seed_45,0.0,0.5,0.9925650557620818,1.0,38.89200020728907,8400,True,45
results/scarcity_baseline/frac0.255/seed_42,seed_42,0.0,0.5,1.0,1.0,23.506819551449023,1900,True,42
results/scarcity_baseline/frac0.255/seed_43,seed_43,0.0,0.5,1.0,1.0,23.19114062715013,1300,True,43
results/scarcity_baseline/frac0.255/seed_44,seed_44,0.0,0.5,1.0,1.0,25.87931721621468,2400,True,44
results/scarcity_baseline/frac0.255/seed_46,seed_46,0.0,0.5,1.0,1.0,28.158639809325262,1600,True,46
results/scarcity_baseline/frac0.255/seed_45,seed_45,0.0,0.5,0.9587509637625289,1.0,29.364858677123863,2500,True,45
results/multi_seed/45/severe_collapse,severe_collapse,0.5,0.9,0.029954862535904802,0.8946360153256705,65.48920708916157,-1,False,45
results/multi_seed/45/pure,pure,0.0,0.5,1.0,1.0,31.31685048373308,1300,True,45
results/multi_seed/45/high_collapse,high_collapse,0.3,0.7,0.24169060320065655,0.8917624521072797,57.61843866996503,-1,False,45
results/multi_seed/45/low_collapse,low_collapse,0.05,0.3,0.95814526056627,0.9827586206896551,36.53682211878,3900,True,45
results/multi_seed/45/medium_collapse,medium_collapse,0.15,0.5,0.8375051292572836,0.9894636015325671,40.09430875742182,-1,False,45
results/multi_seed/42/severe_collapse,severe_collapse,0.5,0.9,0.046368485843249894,1.0,55.37173549888721,-1,False,42
